time,treat,conversion
0,control,0
1,control,0
1,treatment,0
1,treatment,0
2,treatment,0
2,control,0
4,treatment,0
5,control,0
6,treatment,0
7,control,0
9,treatment,0
10,treatment,0
11,control,0
14,control,0
14,control,0
14,control,0
15,treatment,0
15,treatment,0
18,treatment,0
18,control,0
19,control,0
20,treatment,0
20,control,0
21,control,1
21,treatment,0
22,control,0
23,control,0
23,control,0
24,treatment,0
24,control,0
25,treatment,0
25,control,0
28,control,0
28,control,0
29,treatment,0
29,control,0
30,control,0
32,treatment,0
33,treatment,0
35,treatment,0
35,treatment,0
35,control,0
35,treatment,0
36,treatment,1
36,treatment,0
37,treatment,0
38,treatment,0
39,control,0
39,control,0
40,control,0
40,control,0
42,treatment,0
42,treatment,0
42,treatment,0
42,control,0
42,treatment,0
44,treatment,0
44,control,0
45,control,1
46,treatment,0
46,control,0
46,control,0
47,control,0
48,control,0
48,control,0
49,treatment,0
52,control,0
52,control,0
52,treatment,0
56,treatment,0
56,control,0
58,treatment,0
58,control,0
58,treatment,1
60,treatment,0
61,treatment,0
62,control,0
62,control,0
64,control,0
65,control,0
65,treatment,0
66,treatment,0
66,control,0
66,treatment,0
66,control,0
68,treatment,0
68,control,0
70,control,0
71,treatment,0
71,control,0
71,control,0
71,control,0
74,control,0
74,treatment,0
74,control,0
76,control,0
76,treatment,0
76,treatment,0
77,control,0
77,control,0
77,control,0
78,control,0
79,control,0
79,control,0
79,control,0
81,treatment,0
82,treatment,0
83,control,0
84,treatment,0
85,treatment,0
85,treatment,0
86,treatment,0
86,control,0
86,treatment,0
87,control,0
87,treatment,0
87,treatment,0
88,treatment,0
88,control,0
90,control,0
91,control,0
91,treatment,0
93,control,0
93,control,0
93,treatment,0
94,treatment,0
95,control,0
97,control,0
100,control,0
100,treatment,0
103,treatment,0
104,control,0
105,treatment,0
105,treatment,0
105,treatment,0
105,treatment,0
106,treatment,0
107,treatment,0
107,treatment,0
109,treatment,0
109,control,0
109,control,0
109,control,0
110,control,0
110,control,0
111,control,0
111,control,0
111,control,0
111,treatment,0
112,treatment,0
112,control,0
115,treatment,0
115,treatment,0
115,control,0
116,treatment,0
118,treatment,0
120,treatment,0
121,control,0
122,control,0
123,control,0
124,control,0
124,treatment,0
125,control,0
125,control,0
126,control,0
126,treatment,0
126,treatment,0
127,treatment,0
127,control,0
127,treatment,0
129,control,0
137,treatment,0
137,control,0
139,control,0
140,control,0
140,treatment,0
141,control,0
142,control,0
143,treatment,0
145,control,0
146,treatment,0
147,treatment,0
147,control,1
148,control,0
149,control,0
153,treatment,0
153,treatment,0
154,control,0
154,treatment,0
156,control,0
158,treatment,0
159,treatment,0
159,control,0
161,control,0
161,treatment,0
161,treatment,0
161,treatment,0
162,control,0
163,treatment,0
163,treatment,0
164,treatment,0
165,control,0
165,treatment,0
166,treatment,0
168,control,0
169,control,0
169,treatment,1
175,control,0
175,treatment,0
176,treatment,0
176,control,0
181,control,0
181,treatment,0
182,control,0
183,control,0
184,treatment,0
184,control,0
184,treatment,0
186,treatment,0
186,control,0
189,treatment,0
189,control,0
190,treatment,0
191,treatment,0
191,control,0
192,treatment,0
194,treatment,0
195,treatment,0
195,control,0
197,treatment,0
198,treatment,0
200,treatment,0
200,treatment,0
201,treatment,0
202,treatment,0
203,treatment,0
203,treatment,0
203,treatment,0
204,treatment,0
205,control,0
205,treatment,0
205,treatment,0
205,control,0
207,control,0
207,control,0
208,treatment,0
210,control,0
211,treatment,0
212,treatment,1
214,control,0
215,treatment,0
215,control,0
215,treatment,0
215,treatment,0
216,control,0
217,control,0
218,control,0
219,treatment,0
220,treatment,0
220,control,0
222,control,0
222,treatment,0
223,control,0
223,treatment,0
225,control,0
225,treatment,0
226,treatment,0
227,control,0
228,treatment,0
228,treatment,0
229,control,0
231,control,0
233,control,0
233,control,0
233,treatment,0
233,treatment,0
234,treatment,0
234,treatment,0
235,control,0
235,control,0
235,treatment,0
235,control,0
236,control,0
238,treatment,0
239,control,0
239,treatment,0
239,control,0
239,control,0
239,control,1
240,treatment,0
240,control,0
240,control,0
241,control,0
241,control,0
242,control,0
243,control,0
244,treatment,0
244,treatment,0
245,control,0
246,treatment,0
246,treatment,0
246,control,0
248,treatment,0
249,control,0
251,treatment,0
251,treatment,0
252,control,0
252,control,0
253,control,0
256,control,0
256,control,0
258,treatment,0
259,control,0
260,control,0
262,treatment,0
264,control,0
264,treatment,0
265,treatment,0
266,control,0
267,treatment,0
268,treatment,0
268,control,0
269,treatment,0
269,treatment,0
270,control,0
270,control,0
270,control,0
273,treatment,0
274,treatment,0
274,treatment,0
276,treatment,0
277,treatment,0
278,control,0
278,treatment,0
280,control,0
280,treatment,0
282,control,0
282,treatment,0
282,control,0
283,treatment,0
285,control,0
285,control,0
286,treatment,0
286,control,0
287,control,0
288,control,0
289,treatment,0
289,treatment,0
290,control,0
291,control,0
292,control,0
294,treatment,0
294,control,0
295,control,0
297,control,0
297,control,0
297,control,0
297,control,0
299,control,0
300,treatment,0
300,treatment,0
300,control,0
303,control,0
303,treatment,0
303,control,0
304,treatment,0
304,control,0
304,control,0
305,control,0
305,control,0
305,treatment,0
305,control,0
305,treatment,0
306,control,0
306,treatment,0
307,treatment,0
308,control,0
309,treatment,0
310,treatment,0
311,control,0
311,control,0
312,control,0
312,control,0
312,treatment,0
314,treatment,0
314,treatment,0
314,treatment,0
315,control,0
315,treatment,0
316,treatment,0
317,control,0
317,treatment,0
317,treatment,0
318,control,0
319,treatment,0
321,control,0
322,control,0
323,treatment,0
324,control,0
324,control,0
325,control,0
325,treatment,0
325,control,0
325,control,0
326,control,0
326,control,0
329,control,0
329,treatment,0
330,control,0
332,treatment,0
332,control,0
333,treatment,0
333,control,0
333,control,0
334,treatment,0
334,treatment,0
334,control,0
334,treatment,0
336,treatment,0
338,control,1
339,treatment,0
339,treatment,0
339,treatment,0
339,control,0
339,control,0
340,control,0
342,treatment,0
343,control,0
344,control,0
344,control,0
345,control,0
345,control,0
345,control,0
346,control,0
346,control,0
346,treatment,0
346,treatment,0
347,control,0
347,treatment,0
347,treatment,0
348,treatment,0
350,control,0
350,control,0
352,control,0
352,treatment,0
352,control,0
354,control,0
355,control,0
355,control,0
356,control,0
356,control,0
357,control,0
357,treatment,0
357,control,0
359,control,0
360,control,0
360,treatment,1
361,treatment,0
362,treatment,0
362,treatment,0
362,treatment,0
362,treatment,0
363,treatment,0
364,control,0
366,control,0
366,control,0
368,control,0
369,control,0
370,treatment,0
370,treatment,0
370,treatment,0
371,treatment,0
374,treatment,0
374,treatment,0
374,treatment,0
375,control,0
375,control,0
377,control,0
379,treatment,0
380,treatment,0
380,treatment,0
381,treatment,0
381,control,0
381,treatment,0
383,control,0
383,treatment,0
384,treatment,0
384,control,0
385,control,0
386,control,0
386,control,0
387,control,0
388,control,0
389,treatment,0
389,control,0
390,control,0
390,treatment,0
391,control,0
392,control,0
393,control,0
393,treatment,0
393,treatment,0
394,control,0
394,treatment,0
394,control,0
394,treatment,0
394,control,0
396,control,0
397,control,0
397,treatment,0
397,control,0
397,control,0
399,treatment,0
400,control,0
401,treatment,0
401,control,0
402,control,0
403,control,0
403,control,0
403,control,0
404,control,0
405,control,0
406,control,0
409,treatment,0
411,control,0
412,treatment,0
412,control,0
413,treatment,0
414,control,0
414,treatment,0
415,treatment,0
415,control,0
417,control,0
417,control,0
418,control,0
421,treatment,0
421,control,0
421,control,0
422,control,0
422,treatment,0
422,treatment,0
422,treatment,0
423,control,0
424,treatment,1
424,control,0
424,control,0
424,treatment,0
425,control,0
426,treatment,0
427,control,0
428,treatment,0
431,control,0
433,treatment,0
433,control,0
434,control,0
435,treatment,0
435,control,0
436,control,0
437,control,0
437,treatment,0
437,control,0
437,control,0
438,treatment,0
439,treatment,0
439,control,0
440,control,0
440,control,0
440,treatment,0
440,treatment,0
440,control,0
440,treatment,0
440,control,0
441,control,0
442,control,0
442,control,0
442,treatment,0
443,treatment,0
444,treatment,0
445,control,0
445,treatment,0
445,treatment,1
446,treatment,0
446,control,0
446,treatment,0
446,treatment,0
448,control,0
449,treatment,0
449,control,0
449,treatment,0
451,treatment,0
451,treatment,0
451,control,0
454,treatment,0
454,treatment,0
454,treatment,0
455,control,0
455,control,0
456,control,0
459,treatment,0
459,control,0
460,treatment,0
461,control,0
464,treatment,1
465,control,0
466,treatment,0
466,treatment,1
467,treatment,0
468,control,0
469,treatment,0
470,control,0
471,control,0
471,control,0
472,treatment,0
472,control,0
472,treatment,0
473,control,0
474,control,0
474,control,1
474,control,0
475,treatment,0
476,control,0
476,control,0
477,treatment,0
478,control,0
478,control,1
480,treatment,0
481,treatment,0
481,control,0
481,treatment,0
482,control,0
482,control,0
483,treatment,0
484,treatment,0
484,control,0
484,treatment,0
484,control,0
484,control,0
484,treatment,0
485,control,0
486,treatment,0
486,treatment,0
487,treatment,0
487,control,0
487,control,0
487,treatment,0
488,control,0
489,treatment,0
489,treatment,0
490,treatment,0
490,treatment,0
490,treatment,0
490,control,0
491,treatment,0
491,control,0
492,treatment,0
492,control,0
496,control,0
497,treatment,0
497,treatment,0
498,control,0
498,treatment,0
500,treatment,0
503,treatment,0
503,treatment,0
503,control,0
503,treatment,0
504,treatment,0
505,treatment,0
505,treatment,0
505,control,0
506,control,0
507,treatment,0
507,treatment,0
508,treatment,0
509,treatment,0
510,control,0
510,treatment,0
510,treatment,0
512,control,0
512,control,0
512,control,0
514,control,0
515,treatment,0
515,treatment,0
516,control,0
516,treatment,0
517,control,0
518,control,0
518,control,0
518,treatment,0
519,treatment,0
519,treatment,0
519,control,0
519,control,0
520,control,0
521,treatment,0
522,control,0
522,control,0
522,treatment,0
523,control,1
523,control,0
524,control,0
525,treatment,0
526,control,0
527,treatment,0
529,treatment,0
529,control,1
532,control,0
532,control,0
533,treatment,0
533,treatment,0
534,control,0
534,treatment,0
535,treatment,0
536,treatment,0
536,control,0
536,treatment,0
538,control,0
539,treatment,0
539,treatment,0
539,treatment,0
541,treatment,0
542,treatment,0
542,treatment,0
544,control,0
545,control,0
546,treatment,0
546,control,0
546,treatment,0
547,treatment,0
548,treatment,0
550,treatment,1
552,treatment,0
553,treatment,0
553,control,0
553,treatment,0
554,treatment,0
554,treatment,0
554,control,0
555,control,0
555,treatment,0
556,control,0
556,treatment,0
557,control,0
559,treatment,0
559,treatment,0
559,control,0
559,treatment,0
563,control,0
563,treatment,0
563,control,0
564,control,0
564,treatment,1
566,treatment,0
566,treatment,0
567,control,0
569,control,0
569,control,0
569,control,0
570,control,0
571,control,0
571,control,0
571,treatment,0
572,control,1
573,treatment,0
575,treatment,0
575,control,0
576,treatment,0
577,control,0
578,treatment,0
579,treatment,0
582,treatment,0
583,control,0
584,treatment,0
584,control,0
584,treatment,0
584,control,0
585,treatment,0
586,control,0
